employee id,Timestamp,status,print_date
176,9/25/2023 8:30,In,10/14/2023
176,9/25/2023 17:03,Out,10/14/2023
176,9/26/2023 8:33,In,10/14/2023
176,9/26/2023 16:37,Out,10/14/2023
176,9/27/2023 10:06,In,10/14/2023
176,9/27/2023 17:06,Out,10/14/2023
176,9/28/2023 9:58,In,10/14/2023
176,9/28/2023 17:15,Out,10/14/2023
85,9/25/2023 7:50,In,10/14/2023
85,9/25/2023 14:09,Out,10/14/2023
85,9/26/2023 7:55,In,10/14/2023
85,9/26/2023 7:55,In,10/14/2023
85,9/26/2023 14:42,Out,10/14/2023
85,9/27/2023 7:49,In,10/14/2023
85,9/27/2023 13:17,Out,10/14/2023
85,9/28/2023 9:20,In,10/14/2023
85,9/28/2023 14:40,Out,10/14/2023
85,9/28/2023 14:41,Out,10/14/2023
83,9/27/2023 10:03,In,10/14/2023
83,9/28/2023 9:34,Out,10/14/2023
83,9/28/2023 9:34,In,10/14/2023
83,9/28/2023 9:34,In,10/14/2023
81,9/28/2023 16:42,Out,10/14/2023
79,9/25/2023 9:16,Out,10/14/2023
79,9/25/2023 9:16,Out,10/14/2023
79,9/25/2023 17:48,In,10/14/2023
79,9/26/2023 8:57,Out,10/14/2023
77,9/25/2023 8:12,In,10/14/2023
77,9/25/2023 13:19,In,10/14/2023
77,9/25/2023 13:19,Out,10/14/2023
77,9/26/2023 8:20,In,10/14/2023
77,9/27/2023 8:13,In,10/14/2023
78,9/25/2023 7:49,In,10/14/2023
78,9/26/2023 7:53,In,10/14/2023
78,9/26/2023 18:34,Out,10/14/2023
78,9/27/2023 7:50,In,10/14/2023
78,9/27/2023 18:29,Out,10/14/2023
78,9/28/2023 8:20,In,10/14/2023
78,9/28/2023 18:36,Out,10/14/2023
76,9/26/2023 7:54,In,10/14/2023
76,9/27/2023 7:50,In,10/14/2023
76,9/27/2023 16:38,Out,10/14/2023
75,9/25/2023 16:33,Out,10/14/2023
75,9/26/2023 7:43,In,10/14/2023
75,9/27/2023 8:12,In,10/14/2023
75,9/27/2023 16:36,Out,10/14/2023
74,9/26/2023 17:51,In,10/14/2023
74,9/27/2023 8:53,Out,10/14/2023
74,9/27/2023 17:45,In,10/14/2023
74,9/28/2023 8:40,Out,10/14/2023
74,9/28/2023 17:47,In,10/14/2023
71,9/25/2023 8:12,In,10/14/2023
71,9/25/2023 16:51,Out,10/14/2023
71,9/28/2023 8:20,In,10/14/2023
73,9/26/2023 17:52,In,10/14/2023
73,9/27/2023 9:05,Out,10/14/2023
73,9/27/2023 17:46,In,10/14/2023
73,9/28/2023 7:26,Out,10/14/2023
72,9/25/2023 7:50,In,10/14/2023
72,9/26/2023 7:54,In,10/14/2023
72,9/27/2023 7:50,In,10/14/2023
72,9/28/2023 7:53,In,10/14/2023
173,9/26/2023 16:49,Out,10/14/2023
173,9/27/2023 9:49,In,10/14/2023
173,9/27/2023 22:07,Out,10/14/2023
173,9/28/2023 19:01,In,10/14/2023
65,9/27/2023 7:50,In,10/14/2023
66,9/25/2023 8:29,Out,10/14/2023
67,9/25/2023 7:49,In,10/14/2023
67,9/25/2023 18:25,Out,10/14/2023
67,9/26/2023 7:52,In,10/14/2023
67,9/26/2023 18:29,Out,10/14/2023
68,9/25/2023 8:00,In,10/14/2023
68,9/26/2023 8:12,In,10/14/2023
63,9/26/2023 17:55,In,10/14/2023
63,9/27/2023 9:03,Out,10/14/2023
63,9/27/2023 17:47,In,10/14/2023
63,9/28/2023 9:00,Out,10/14/2023
208,9/26/2023 17:52,In,10/14/2023
208,9/27/2023 8:39,Out,10/14/2023
208,9/27/2023 18:00,Out,10/14/2023
208,9/27/2023 18:00,In,10/14/2023
208,9/27/2023 18:00,In,10/14/2023
208,9/28/2023 8:27,In,10/14/2023
208,9/28/2023 8:28,Out,10/14/2023
208,9/28/2023 8:28,Out,10/14/2023
62,9/25/2023 7:51,In,10/14/2023
62,9/26/2023 17:52,In,10/14/2023
62,9/27/2023 18:04,In,10/14/2023
62,9/28/2023 17:49,In,10/14/2023
61,9/25/2023 9:07,Out,10/14/2023
61,9/25/2023 17:49,In,10/14/2023
61,9/26/2023 8:47,In,10/14/2023
61,9/26/2023 8:47,Out,10/14/2023
61,9/26/2023 8:47,In,10/14/2023
61,9/26/2023 8:48,In,10/14/2023
31,9/25/2023 20:38,Out,10/14/2023
31,9/25/2023 20:38,Out,10/14/2023
31,9/25/2023 20:39,Out,10/14/2023
31,9/26/2023 8:18,In,10/14/2023
31,9/26/2023 20:32,Out,10/14/2023
31,9/27/2023 18:50,Out,10/14/2023
31,9/28/2023 7:54,In,10/14/2023
31,9/28/2023 17:03,Out,10/14/2023
31,9/28/2023 17:03,Out,10/14/2023
59,9/25/2023 7:48,In,10/14/2023
59,9/26/2023 7:54,In,10/14/2023
59,9/26/2023 18:46,Out,10/14/2023
59,9/27/2023 7:50,In,10/14/2023
59,9/27/2023 18:40,Out,10/14/2023
34,9/25/2023 7:50,In,10/14/2023
34,9/26/2023 7:39,In,10/14/2023
34,9/26/2023 16:32,Out,10/14/2023
34,9/27/2023 7:54,In,10/14/2023
34,9/27/2023 16:31,Out,10/14/2023
149,9/25/2023 17:49,In,10/14/2023
149,9/26/2023 9:05,Out,10/14/2023
149,9/26/2023 17:52,In,10/14/2023
149,9/27/2023 18:32,In,10/14/2023
149,9/28/2023 8:54,Out,10/14/2023
149,9/28/2023 17:49,In,10/14/2023
63,9/25/2023 7:49,In,10/14/2023
63,9/25/2023 7:50,In,10/14/2023
63,9/25/2023 18:07,In,10/14/2023
63,9/25/2023 18:07,Out,10/14/2023
